"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6185","Select a special game category","chromium","Sat May 17 11:59:31 GMT 2025","passed","Sat May 17 11:59:37 GMT 2025","","navigation.test.js","",""
"","7024","Change a language","chromium","Sat May 17 11:59:18 GMT 2025","passed","Sat May 17 11:59:25 GMT 2025","","functional.test.js","",""
"","6341","Search a game via search bar","firefox","Sat May 17 12:00:10 GMT 2025","passed","Sat May 17 12:00:16 GMT 2025","","navigation.test.js","",""
"","19715","Login to account","firefox","Sat May 17 11:59:39 GMT 2025","passed","Sat May 17 11:59:58 GMT 2025","","authorization.test.js","",""
"","19547","Add a game to the shopping cart","firefox","Sat May 17 11:59:47 GMT 2025","passed","Sat May 17 12:00:07 GMT 2025","","functional.test.js","",""
"","20623","Search for a friend using a code","firefox","Sat May 17 12:00:00 GMT 2025","passed","Sat May 17 12:00:21 GMT 2025","","functional.test.js","",""
"","29055","Update profile information on the profile page","firefox","Sat May 17 11:59:40 GMT 2025","passed","Sat May 17 12:00:09 GMT 2025","","functional.test.js","",""
"","3975","Search a game via search bar","chromium","Sat May 17 11:59:35 GMT 2025","passed","Sat May 17 11:59:39 GMT 2025","","navigation.test.js","",""
"","10917","Login to account","chromium","Sat May 17 11:59:18 GMT 2025","passed","Sat May 17 11:59:29 GMT 2025","","authorization.test.js","",""
"","18331","Remove a game from the shopping cart","firefox","Sat May 17 11:59:56 GMT 2025","passed","Sat May 17 12:00:14 GMT 2025","","functional.test.js","",""
"","13272","Search for a friend using a code","chromium","Sat May 17 11:59:30 GMT 2025","passed","Sat May 17 11:59:44 GMT 2025","","functional.test.js","",""
"","8435","Select a special game category","firefox","Sat May 17 12:00:08 GMT 2025","passed","Sat May 17 12:00:17 GMT 2025","","navigation.test.js","",""
"","13719","Change a language","firefox","Sat May 17 11:59:41 GMT 2025","passed","Sat May 17 11:59:54 GMT 2025","","functional.test.js","",""
"","15112","Update profile information on the profile page","chromium","Sat May 17 11:59:18 GMT 2025","passed","Sat May 17 11:59:33 GMT 2025","","functional.test.js","",""
"","10636","Add a game to the shopping cart","chromium","Sat May 17 11:59:18 GMT 2025","passed","Sat May 17 11:59:28 GMT 2025","","functional.test.js","",""
"","10471","Remove a game from the shopping cart","chromium","Sat May 17 11:59:27 GMT 2025","passed","Sat May 17 11:59:37 GMT 2025","","functional.test.js","",""
